,Name,Year,Rating,Metascore,Vote,Description,Certificate,Runtime,Genre,Director,Stars,Earning
0,Deadpool,(2016),8.0,65        ,"873,922","
    A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",R,108 min,"
Action, Adventure, Comedy            ",Tim Miller,"['Ryan Reynolds', 'Morena Baccarin', 'T.J. Miller', 'Ed Skrein']",$363.07M
1,Stranger Things,(2016– ),8.8,No metascore,"745,068","
    When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",TV-14,51 min,"
Drama, Fantasy, Horror            ",Millie Bobby Brown,"['Finn Wolfhard', 'Winona Ryder', 'David Harbour']",No Gross
2,Captain America: Civil War,(2016),7.8,75        ,"636,229","
    Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.",PG-13,147 min,"
Action, Adventure, Sci-Fi            ",Anthony Russo,"['Joe Russo', 'Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan']",$408.08M
3,Batman v Superman: Dawn of Justice,(2016),6.5,No metascore,"606,684","
    Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",PG-13,151 min,"
Action, Adventure, Sci-Fi            ",Zack Snyder,"['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Jesse Eisenberg']",$330.36M
4,Suicide Squad,(2016),6.0,No metascore,"580,260","
    A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.",PG-13,123 min,"
Action, Adventure, Fantasy            ",David Ayer,"['Will Smith', 'Jared Leto', 'Margot Robbie', 'Viola Davis']",$325.10M
5,Doctor Strange,(2016),7.5,72        ,"570,640","
    While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",PG-13,115 min,"
Action, Adventure, Fantasy            ",Scott Derrickson,"['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Benedict Wong']",$232.64M
6,Arrival,(II) (2016),7.9,81        ,"566,963","
    A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.",PG-13,116 min,"
Drama, Mystery, Sci-Fi            ",Denis Villeneuve,"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker', 'Michael Stuhlbarg']",$100.55M
7,Rogue One: A Star Wars Story,(2016),7.8,65        ,"532,391","
    The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.",PG-13,133 min,"
Action, Adventure, Sci-Fi            ",Gareth Edwards,"['Felicity Jones', 'Diego Luna', 'Alan Tudyk', 'Donnie Yen']",$532.18M
8,La La Land,(2016),8.0,94        ,"479,950","
    While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",PG-13,128 min,"
Comedy, Drama, Music            ",Damien Chazelle,"['Ryan Gosling', 'Emma Stone', 'Rosemarie DeWitt', 'J.K. Simmons']",$151.10M
9,Zootopia,(2016),8.0,78        ,"415,513","
    In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",PG,108 min,"
Animation, Adventure, Comedy            ",Byron Howard,"['Rich Moore', 'Jared Bush', 'Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba', 'Jenny Slate']",$341.27M
10,Hacksaw Ridge,(2016),8.1,71        ,"410,454","
    World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",R,139 min,"
Biography, Drama, History            ",Mel Gibson,"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer']",$67.21M
11,Split,(IX) (2016),7.3,62        ,"402,826","
    Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.",PG-13,117 min,"
Horror, Thriller            ",M. Night Shyamalan,"['James McAvoy', 'Anya Taylor-Joy', 'Haley Lu Richardson', 'Jessica Sula']",$138.29M
